season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2007/08,2008-04-19,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2007/08,2008-04-19,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,MF Maharoof,Feroz Shah Kotla,Delhi
2007/08,2008-04-22,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2007/08,2008-04-23,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-04-26,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-04-27,League,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,wickets,4.0,SM Katich,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2007/08,2008-04-28,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,MS Dhoni,M Chinnaswamy Stadium,Bangalore
2007/08,2008-04-30,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,runs,10.0,GD McGrath,Feroz Shah Kotla,Delhi
2007/08,2008-05-02,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,8.0,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-04,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,29.0,SM Pollock,Dr DY Patil Sports Academy,Mumbai
2007/08,2008-05-04,League,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur
2007/08,2008-05-06,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7.0,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-08,League,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,MS Dhoni,Feroz Shah Kotla,Delhi
2007/08,2008-05-10,League,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,runs,18.0,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-11,League,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,SR Watson,Sawai Mansingh Stadium,Jaipur
2007/08,2008-05-13,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0,Shoaib Akhtar,Eden Gardens,Kolkata
2007/08,2008-05-14,League,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9.0,ST Jayasuriya,Wankhede Stadium,Mumbai
2007/08,2008-05-15,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,runs,12.0,A Mishra,Feroz Shah Kotla,Delhi
2007/08,2008-05-17,League,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,runs,6.0,DPMD Jayawardene,Feroz Shah Kotla,Delhi
2007/08,2008-05-18,League,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,runs,3.0,M Ntini,Eden Gardens,Kolkata
2007/08,2008-05-19,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,5.0,SP Goswami,M Chinnaswamy Stadium,Bangalore
2007/08,2008-05-21,League,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,14.0,A Kumble,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-24,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,5.0,KD Karthik,Feroz Shah Kotla,Delhi
2007/08,2008-05-24,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10.0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-27,League,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,7.0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2007/08,2008-05-30,Semi Final,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,runs,105.0,SR Watson,Wankhede Stadium,Mumbai
2007/08,2008-05-31,Semi Final,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Chennai Super Kings,wickets,9.0,M Ntini,Wankhede Stadium,Mumbai
2007/08,2008-06-01,Final,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,YK Pathan,Dr DY Patil Sports Academy,Mumbai
2009,2009-04-18,League,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,19.0,SR Tendulkar,Newlands,Cape Town
2009,2009-04-19,League,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,wickets,10.0,DL Vettori,Newlands,Cape Town
2009,2009-04-20,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,92.0,M Muralitharan,St George's Park,Port Elizabeth
2009,2009-04-23,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,9.0,AB de Villiers,Kingsmead,Durban
2009,2009-04-26,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Delhi Capitals,wickets,6.0,TM Dilshan,St George's Park,Port Elizabeth
2009,2009-04-27,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,HH Gibbs,Kingsmead,Durban
2009,2009-04-28,League,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,wickets,5.0,YK Pathan,SuperSport Park,Centurion
2009,2009-04-30,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,DP Nannes,SuperSport Park,Centurion
2009,2009-04-30,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38.0,SK Raina,SuperSport Park,Centurion
2009,2009-05-02,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,18.0,SB Jakati,New Wanderers Stadium,Johannesburg
2009,2009-05-04,League,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,78.0,MS Dhoni,Buffalo Park,East London
2009,2009-05-05,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,wickets,9.0,G Gambhir,Kingsmead,Durban
2009,2009-05-07,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,12.0,ML Hayden,SuperSport Park,Centurion
2009,2009-05-08,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,7.0,A Nehra,Buffalo Park,East London
2009,2009-05-09,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,S Badrinath,De Beers Diamond Oval,Kimberley
2009,2009-05-10,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,wickets,7.0,A Mishra,New Wanderers Stadium,Johannesburg
2009,2009-05-13,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,12.0,R Bhatia,Kingsmead,Durban
2009,2009-05-14,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bengaluru,wickets,2.0,LRPL Taylor,Kingsmead,Durban
2009,2009-05-15,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,B Lee,OUTsurance Oval,Bloemfontein
2009,2009-05-16,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,ML Hayden,St George's Park,Port Elizabeth
2009,2009-05-17,League,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,14.0,AB de Villiers,OUTsurance Oval,Bloemfontein
2009,2009-05-18,League,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,7.0,BJ Hodge,SuperSport Park,Centurion
2009,2009-05-19,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,Royal Challengers Bengaluru,wickets,7.0,JH Kallis,New Wanderers Stadium,Johannesburg
2009,2009-05-20,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,M Muralitharan,Kingsmead,Durban
2009,2009-05-21,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,4.0,V Sehwag,SuperSport Park,Centurion
2009,2009-05-22,Semi Final,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,AC Gilchrist,SuperSport Park,Centurion
2009,2009-05-23,Semi Final,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6.0,MK Pandey,New Wanderers Stadium,Johannesburg
2009/10,2010-03-13,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,5.0,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2009/10,2010-03-14,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,31.0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-03-15,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,V Sehwag,"Sardar Patel Stadium, Motera",Ahmedabad
2009/10,2010-03-16,League,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,55.0,MS Dhoni,Eden Gardens,Kolkata
2009/10,2010-03-17,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,98.0,SR Tendulkar,Feroz Shah Kotla,Delhi
2009/10,2010-03-19,League,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,5.0,ML Hayden,Feroz Shah Kotla,Delhi
2009/10,2010-03-21,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,10.0,A Symonds,Barabati Stadium,Cuttack
2009/10,2010-03-21,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,tie,,J Theron,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-03-23,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,36.0,RV Uthappa,M Chinnaswamy Stadium,Bangalore
2009/10,2010-03-25,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,SR Tendulkar,"Brabourne Stadium, Mumbai",Mumbai
2009/10,2010-03-25,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,Delhi Capitals,runs,17.0,KM Jadhav,M Chinnaswamy Stadium,Bangalore
2009/10,2010-03-28,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,17.0,NV Ojha,"Sardar Patel Stadium, Motera",Ahmedabad
2009/10,2010-03-29,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,runs,40.0,DA Warner,Feroz Shah Kotla,Delhi
2009/10,2010-03-31,League,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,5.0,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-03-31,League,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,67.0,KD Karthik,Feroz Shah Kotla,Delhi
2009/10,2010-04-03,League,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,23.0,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-04-04,League,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Delhi Capitals,runs,37.0,PD Collingwood,Feroz Shah Kotla,Delhi
2009/10,2010-04-06,League,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-04-07,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,14.0,SC Ganguly,Eden Gardens,Kolkata
2009/10,2010-04-10,League,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6.0,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
2009/10,2010-04-11,League,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,wickets,7.0,PP Chawla,Feroz Shah Kotla,Delhi
2009/10,2010-04-13,League,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,39.0,KA Pollard,Brabourne Stadium,Mumbai
2009/10,2010-04-13,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,R Ashwin,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-04-15,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,6.0,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai
2009/10,2010-04-18,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Dharamsala
2009/10,2010-04-18,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,11.0,A Symonds,Feroz Shah Kotla,Delhi
2009/10,2010-04-22,Semi Final,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,38.0,DE Bollinger,Dr DY Patil Sports Academy,Mumbai
2009/10,2010-04-25,Final,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,22.0,SK Raina,Dr DY Patil Sports Academy,Mumbai
2011,2011-04-08,League,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,2.0,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-04-09,League,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,wickets,6.0,AB de Villiers,Nehru Stadium,Kochi
2011,2011-04-10,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,8.0,SL Malinga,Feroz Shah Kotla,Delhi
2011,2011-04-12,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,wickets,6.0,SK Warne,Sawai Mansingh Stadium,Jaipur
2011,2011-04-13,League,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2011,2011-04-13,League,Rising Pune Supergiant,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Rising Pune Supergiant,wickets,4.0,MD Mishra,Dr DY Patil Sports Academy,Mumbai
2011,2011-04-15,League,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8.0,BB McCullum,Wankhede Stadium,Mumbai
2011,2011-04-16,League,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,21.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-04-17,League,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,3.0,Yuvraj Singh,Dr DY Patil Sports Academy,Mumbai
2011,2011-04-18,League,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7.0,BB McCullum,Nehru Stadium,Kochi
2011,2011-04-19,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,16.0,S Sohal,Feroz Shah Kotla,Delhi
2011,2011-04-20,League,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,6.0,DPMD Jayawardene,Eden Gardens,Kolkata
2011,2011-04-22,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,8.0,Harbhajan Singh,Wankhede Stadium,Mumbai
2011,2011-04-23,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,runs,29.0,DA Warner,Feroz Shah Kotla,Delhi
2011,2011-04-24,League,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,SK Warne,Sawai Mansingh Stadium,Jaipur
2011,2011-04-25,League,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,Chennai Super Kings,runs,25.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-04-26,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,3.0,V Kohli,Feroz Shah Kotla,Delhi
2011,2011-04-27,League,Rising Pune Supergiant,Chennai Super Kings,Rising Pune Supergiant,bat,Chennai Super Kings,wickets,8.0,DE Bollinger,Dr DY Patil Sports Academy,Mumbai
2011,2011-04-27,League,Kochi Tuskers Kerala,Sunrisers Hyderabad,Kochi Tuskers Kerala,field,Sunrisers Hyderabad,runs,55.0,I Sharma,Nehru Stadium,Kochi
2011,2011-04-28,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,runs,17.0,MK Tiwary,Feroz Shah Kotla,Delhi
2011,2011-04-30,League,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,38.0,V Sehwag,Nehru Stadium,Kochi
2011,2011-05-01,League,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,19.0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-05-02,League,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7.0,P Parameswaran,Feroz Shah Kotla,Delhi
2011,2011-05-04,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,8.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-05-05,League,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,17.0,BJ Hodge,Nehru Stadium,Kochi
2011,2011-05-05,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2011,2011-05-07,League,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,runs,10.0,Iqbal Abdulla,Eden Gardens,Kolkata
2011,2011-05-07,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,32.0,AT Rayudu,Wankhede Stadium,Mumbai
2011,2011-05-08,League,Royal Challengers Bengaluru,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,wickets,9.0,CH Gayle,M Chinnaswamy Stadium,Bangalore
2011,2011-05-09,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,runs,63.0,M Vijay,Sawai Mansingh Stadium,Jaipur
2011,2011-05-12,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,18.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-05-13,League,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,KD Karthik,Holkar Cricket Stadium,Indore
2011,2011-05-15,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,29.0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Dharamsala
2011,2011-05-15,League,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8.0,BJ Hodge,Holkar Cricket Stadium,Indore
2011,2011-05-18,League,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings,runs,11.0,WP Saha,"MA Chidambaram Stadium, Chepauk",Chennai
2011,2011-05-21,League,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,,no result,,,Feroz Shah Kotla,Delhi
2011,2011-05-22,League,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,CH Gayle,M Chinnaswamy Stadium,Bangalore
2011,2011-05-24,Qualifier 1,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,SK Raina,Wankhede Stadium,Mumbai
2011,2011-05-28,Final,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,58.0,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-04,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,RE Levi,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-05,League,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,8.0,IK Pathan,Eden Gardens,Kolkata
2012,2012-04-07,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,20.0,AB de Villiers,M Chinnaswamy Stadium,Bangalore
2012,2012-04-07,League,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,runs,74.0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
2012,2012-04-10,League,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,wickets,8.0,M Morkel,Feroz Shah Kotla,Delhi
2012,2012-04-12,League,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,5.0,F du Plessis,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-14,League,Rising Pune Supergiant,Chennai Super Kings,Chennai Super Kings,bat,Rising Pune Supergiant,wickets,7.0,JD Ryder,Subrata Roy Sahara Stadium,Pune
2012,2012-04-16,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,S Nadeem,Wankhede Stadium,Mumbai
2012,2012-04-19,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,5.0,KP Pietersen,Feroz Shah Kotla,Delhi
2012,2012-04-19,League,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,Chennai Super Kings,runs,13.0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-21,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,F du Plessis,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-21,League,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,field,Rising Pune Supergiant,runs,20.0,SC Ganguly,Feroz Shah Kotla,Delhi
2012,2012-04-24,League,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,bat,Delhi Capitals,wickets,8.0,V Sehwag,Subrata Roy Sahara Stadium,Pune
2012,2012-04-27,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,V Sehwag,Feroz Shah Kotla,Delhi
2012,2012-04-28,League,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,runs,7.0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-04-29,League,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,1.0,V Sehwag,Feroz Shah Kotla,Delhi
2012,2012-04-30,League,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,5.0,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-05-01,League,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,wickets,6.0,P Negi,Sawai Mansingh Stadium,Jaipur
2012,2012-05-04,League,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,10.0,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-05-06,League,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,2.0,DR Smith,Wankhede Stadium,Mumbai
2012,2012-05-07,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,6.0,JH Kallis,Feroz Shah Kotla,Delhi
2012,2012-05-10,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2012,2012-05-10,League,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,BW Hilfenhaus,Sawai Mansingh Stadium,Jaipur
2012,2012-05-12,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-05-14,League,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,MEK Hussey,Eden Gardens,Kolkata
2012,2012-05-15,League,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,wickets,5.0,UT Yadav,Feroz Shah Kotla,Delhi
2012,2012-05-17,League,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala
2012,2012-05-17,League,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,field,Royal Challengers Bengaluru,runs,21.0,CH Gayle,Feroz Shah Kotla,Delhi
2012,2012-05-19,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,UT Yadav,Himachal Pradesh Cricket Association Stadium,Dharamsala
2012,2012-05-22,Qualifier 1,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,18.0,YK Pathan,Subrata Roy Sahara Stadium,Pune
