season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2022,2022-04-30,League,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,bat,Gujarat Titans,wickets,6.0,R Tewatia,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-05-01,League,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Lucknow Super Giants,runs,6.0,Mohsin Khan,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-05-01,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,13.0,RD Gaikwad,"Maharashtra Cricket Association Stadium, Pune",Pune
2022,2022-05-03,League,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Punjab Kings,wickets,8.0,K Rabada,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-05-04,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,13.0,HV Patel,"Maharashtra Cricket Association Stadium, Pune",Pune
2022,2022-05-05,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,runs,21.0,DA Warner,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-05-06,League,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,runs,5.0,TH David,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-05-08,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,91.0,DP Conway,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-05-10,League,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,runs,62.0,Shubman Gill,"Maharashtra Cricket Association Stadium, Pune",Pune
2022,2022-05-11,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,8.0,MR Marsh,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-05-12,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,DR Sams,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-05-15,League,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,wickets,7.0,WP Saha,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-05-16,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,runs,17.0,SN Thakur,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-05-19,League,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,bat,Royal Challengers Bengaluru,wickets,8.0,V Kohli,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-05-20,League,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,5.0,R Ashwin,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-05-21,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,JJ Bumrah,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-05-24,Qualifier 1,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,7.0,DA Miller,"Eden Gardens, Kolkata",Kolkata
2022,2022-05-29,Final,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,wickets,7.0,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-03-31,League,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-04-01,League,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,runs,50.0,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2023,2023-04-03,League,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,runs,12.0,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-04-04,League,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-04-08,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,57.0,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Guwahati
2023,2023-04-08,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,RA Jadeja,"Wankhede Stadium, Mumbai",Mumbai
2023,2023-04-09,League,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Kolkata Knight Riders,wickets,3.0,RK Singh,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-04-11,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6.0,RG Sharma,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-04-12,League,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,3.0,R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-04-13,League,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh
2023,2023-04-15,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,23.0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
2023,2023-04-16,League,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-04-17,League,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,8.0,DP Conway,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
2023,2023-04-20,League,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,I Sharma,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-04-21,League,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-04-22,League,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,runs,7.0,MM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2023,2023-04-23,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,49.0,AM Rahane,"Eden Gardens, Kolkata",Kolkata
2023,2023-04-24,League,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,7.0,AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
2023,2023-04-25,League,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,55.0,A Manohar,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-04-27,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,32.0,YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",Jaipur
2023,2023-04-29,League,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,7.0,J Little,"Eden Gardens, Kolkata",Kolkata
2023,2023-04-29,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,9.0,MR Marsh,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-04-30,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,wickets,4.0,DP Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-05-02,League,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Delhi Capitals,runs,5.0,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-05-03,League,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,,no result,,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2023,2023-05-05,League,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,wickets,9.0,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Jaipur
2023,2023-05-06,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-05-06,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Delhi Capitals,wickets,7.0,PD Salt,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-05-07,League,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,runs,56.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-05-10,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,27.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-05-12,League,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,runs,27.0,SA Yadav,"Wankhede Stadium, Mumbai",Mumbai
2023,2023-05-13,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,31.0,P Simran Singh,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-05-14,League,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,6.0,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-05-15,League,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,runs,34.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-05-17,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,runs,15.0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
2023,2023-05-20,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,77.0,RD Gaikwad,"Arun Jaitley Stadium, Delhi",Delhi
2023,2023-05-21,League,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
